dataset	species_pop	acc_morpho	year_side	from_tip	from_base	count	x6	y6	x5	y5	x4	y4	x3	y3	x15	y15	x14	y14	x13	y13	x12	y12	x11	y11
passiflora	actinia		left	5	19	23	8.538107813	354.6731364	16.48026071	336.4067652	1.846125432	322.1730346	-39.06585302	326.9012926	422.5959593	274.0350458	476.1938588	211.2579068	590.3312753	-359.2198341	583.6093238	-431.7508144	67.53093047	-1496.229519
passiflora	actinia		left	6	18	23	6.975111642	392.8068494	13.42947525	376.4215213	-4.942300152	354.9888435	-44.4986065	347.2937454	528.3116097	192.3770929	548.5236453	138.9276767	579.8040293	-352.6496143	572.0776648	-439.8169758	68.91215777	-1458.222391
passiflora	actinia		left	7	17	23	-5.94355954	446.1870805	8.374688353	425.4680447	-9.677979572	404.2786539	-57.34157011	396.4787827	602.4962957	135.3962468	627.3670858	90.48089377	554.4890781	-437.5721176	531.5014817	-522.1402047	77.57589303	-1248.284727
passiflora	actinia		left	8	16	23	23.99493102	422.2938055	30.66686172	400.2307445	16.16102082	372.4717219	-29.84786649	378.625733	544.6387926	183.6661522	580.0454356	120.7137509	603.2594246	-355.7683798	573.9560941	-469.136596	38.22302091	-1369.616262
passiflora	actinia		left	9	15	23	4.196213393	461.0846152	2.632456096	443.5848721	-11.18825413	415.4562449	-48.84860656	421.3109833	516.0516234	169.7710889	531.6474583	123.0880696	560.0363717	-526.1134727	546.9394157	-604.7846516	112.7841931	-1226.054885
passiflora	actinia		left	10	14	23	19.87214142	463.5120357	25.87681484	439.206268	8.160913685	417.7690515	-27.2000405	417.1667433	549.0511621	207.7362776	587.0490365	120.3152338	543.3904607	-484.5486617	504.5813275	-554.441831	60.62853093	-1234.920378
passiflora	actinia		left	11	13	23	30.66918864	427.9260661	38.20535789	409.930039	24.05771928	394.3528402	-21.38030706	389.7070705	481.5084628	258.4094508	509.0566432	217.5337125	548.8533658	-491.1772867	537.4108361	-536.583785	-8.789263825	-1264.245544
passiflora	actinia		left	12	12	23	63.70724867	414.2352173	70.89099932	399.5151019	46.13908902	378.5689297	9.35757838	377.9826278	562.7389951	183.7762251	583.9799875	141.5986252	556.7773453	-312.0542291	541.2843279	-358.366989	-103.3037704	-1285.070198
passiflora	actinia		left	13	11	23	46.18544957	440.5728074	50.93358219	421.6749477	30.45493617	409.6835397	-12.83702568	410.8429358	544.0852957	134.3824072	560.7445999	73.77625883	534.6064346	-349.8215391	525.2900914	-398.2215936	-53.36502872	-1266.580595
passiflora	actinia		left	14	10	23	30.17824628	418.3695035	31.51759645	396.2280708	17.00914383	373.4296561	-25.28957293	372.0273502	526.503323	202.9742294	544.4325897	168.1260853	566.9052395	-378.4657679	549.9191376	-456.7187993	16.39111287	-1408.862367
passiflora	actinia		left	15	9	23	25.61429495	429.3649163	28.50228738	402.312662	20.48157429	364.0038254	-20.48333685	384.2999343	549.0303841	171.5307849	579.1510242	135.8725899	566.8956595	-338.9363373	541.9157888	-421.4439102	-17.64106025	-1392.598997
passiflora	actinia		left	16	8	23	23.25397519	429.0720572	32.37676535	406.0167672	9.256026207	368.9478337	-43.41584511	364.5031376	498.9331317	251.7566381	530.1919298	212.9627969	591.7918111	-470.1119454	549.5260775	-548.0330858	40.82129917	-1331.759351
passiflora	actinia		left	17	7	23	27.17917949	410.9714393	33.67711876	383.9966192	15.7446985	358.9585655	-29.49481936	353.7201088	505.0569319	200.3412455	530.0520849	151.7413586	575.4606251	-350.468084	563.2316934	-461.4768239	43.80090585	-1416.427054
passiflora	actinia		left	18	6	23	51.1425615	393.6062947	61.94758691	372.9556098	43.96614681	352.1238922	-10.03108198	337.8689569	472.0211133	257.4624417	504.2828549	200.1744509	634.7428481	-351.1038741	590.5158219	-424.9523224	-8.919940974	-1420.818211
passiflora	actinia		left	19	5	23	-9.131882776	379.1724781	1.907849459	356.9832406	-17.55438696	323.7707368	-54.95618827	326.615744	546.1749348	246.4537605	584.8249749	174.3332498	625.2963882	-377.1602431	594.6187826	-476.8526412	63.52522596	-1409.601102
