dataset	species_pop	acc_morpho	year_side	from_tip	from_base	count	x1	y1	x2	y2	x3	y3	x4	y4	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11
passiflora	actinia		right	4	22	25	-19.02157287	348.9353722	-21.46308478	336.2868858	-13.36394342	317.4176849	16.50918639	310.3240431	-489.7655152	279.7438367	-526.3031358	247.7276911	-654.2569669	-392.5818294	-639.3093794	-444.2015004	29.29465587	-1424.905475
passiflora	actinia		right	5	21	25	-27.3352373	359.6450342	-27.65494416	348.8142003	-23.5696213	325.0321034	5.2275393	320.0550559	-499.2168718	274.2324615	-533.236386	250.1440154	-628.691272	-423.5000787	-614.6295645	-464.1218858	47.64866028	-1322.425192
passiflora	actinia		right	6	20	25	-7.194131741	367.2523543	-23.01807446	356.402599	20.7528745	353.2844426	53.25873083	349.9827874	-617.6781909	151.5159601	-629.3022988	127.287964	-607.8262178	-397.9066646	-588.1023305	-428.2338854	7.791168643	-1288.273554
passiflora	actinia		right	7	19	25	4.855796688	378.5158324	-10.37296068	363.8319103	-4.412944402	335.4813347	37.25171567	334.2715582	-545.7014394	226.5108408	-573.9960781	176.3627286	-594.1854969	-445.9876034	-589.8597449	-487.5481393	-82.93316835	-1389.704668
passiflora	actinia		right	8	18	25	-8.026726131	358.5183865	-16.24273561	344.1297137	-6.898804318	317.4642135	30.05680135	312.2024126	-516.348957	243.7718721	-545.9567907	189.3978861	-652.3350434	-372.6614654	-643.245921	-421.0515353	-8.491837297	-1464.981612
passiflora	actinia		right	9	17	25	-37.18116374	375.1242957	-43.57105519	351.9739812	-39.81082851	321.3449861	6.487878959	308.5668273	-502.0315144	298.042832	-537.4732197	266.5050151	-631.8589991	-396.0199647	-630.0580075	-445.85701	91.04158647	-1380.36584
passiflora	actinia		right	10	16	25	9.490066522	410.9201285	-3.041492636	394.0078564	4.862802495	359.4821146	58.43975925	355.9835226	-547.1215048	171.626986	-588.6061272	135.4494522	-608.5275728	-450.4096128	-592.1287983	-500.6426806	-16.08857037	-1296.242483
passiflora	actinia		right	11	15	25	-93.54731534	373.5575934	-115.0497788	357.0713327	-39.46031631	359.4900244	12.49781801	348.7724233	-519.06051	190.6217842	-545.8104911	155.751713	-587.7529024	-321.4338885	-587.9667189	-371.419829	45.13183202	-1409.101667
passiflora	actinia		right	12	14	25	-37.55464509	409.1105382	-46.11655089	394.1115128	-38.79006891	371.5726311	9.924039718	361.5099271	-575.1090588	193.8160048	-595.0385143	148.8996958	-598.0603322	-360.916622	-592.3260163	-406.6135037	94.73028293	-1339.715943
passiflora	actinia		right	13	13	25	-45.28669848	394.7855581	-57.61699171	379.4381262	-39.42140409	356.3271913	9.930259682	353.7759192	-596.1755876	144.0157003	-629.6165431	77.91306793	-595.0914002	-329.7480755	-566.9478086	-403.7603257	10.23894174	-1305.954571
