family	dataset	species_pop	acc_morpho	year_side	from_tip	from_base	count	xA	yA	xB	yB	xC	yC	xD	yD	xE	yE	xF	yF	xG	yG	xH	yH	xI	yI
grapevine	NY_germplasm	Vitis_acerifolia	588459	2017	1	11	11	405.9987581	464.9827298	296.3966501	362.1367317	423.9145447	306.4106126	504.1450893	273.2289479	-642.6130273	214.2527702	-534.8610495	164.9089773	-605.594523	-1158.233887	-391.1998148	-674.5168642	-606.5028767	-2107.403834
grapevine	NY_germplasm	Vitis_acerifolia	588442	2013	11	4	14	542.6151927	369.3848875	500.3802529	347.0245959	558.9228406	320.8875263	606.046828	300.5488007	-979.663353	537.8324842	-815.141096	469.6093892	-715.5207365	-994.0572924	-459.8260602	-707.3711849	26.09238275	-1850.609293
grapevine	NY_germplasm	Vitis_acerifolia	588378	2013	12	6	17	548.6332163	394.4504528	511.9257641	370.942869	581.2107303	325.7880958	618.9796722	287.1451089	-925.9958321	436.4967099	-715.4139272	325.2414397	-812.048628	-1045.338158	-385.3028226	-634.0171681	68.49424703	-1603.9175
grapevine	NY_germplasm	Vitis_acerifolia	1583	2013	17	1	17	489.4045348	522.0197309	480.3481909	442.9965256	652.232178	428.6048005	842.0941703	380.8910331	-811.6563252	514.3533545	-755.8586019	373.8392196	-768.1355121	-781.4466941	-522.5637008	-897.755545	-52.59882766	-1378.944553
grapevine	NY_germplasm	Vitis_acerifolia	588325	2013	10	3	12	639.1916204	391.005715	604.5138839	351.3983379	616.7399794	302.6594884	657.7312394	267.308334	-971.7705838	355.0778143	-724.3148632	258.6243015	-881.6180006	-879.4784136	-374.1971931	-678.5350866	-34.19156664	-1379.710769
grapevine	NY_germplasm	Vitis_acerifolia	588325	2017	1	9	9	527.11983	479.0239173	476.7257984	435.079757	526.8911238	389.9100389	590.7613234	359.5090615	-747.1236268	350.9447802	-597.9304989	307.3434029	-968.097203	-887.0011419	-427.8341121	-580.2073031	101.4811525	-2165.915888
grapevine	NY_germplasm	Vitis_acerifolia	588393	2013	6	6	11	512.8145519	406.550938	490.4770885	376.3332744	548.3034205	351.7619434	601.6232319	336.1261046	-780.9660674	499.7790208	-687.3311345	398.9614523	-908.0595214	-948.5617986	-430.2406579	-768.0877248	58.27698197	-1908.086017
grapevine	NY_germplasm	Vitis_acerifolia	588448	2017	3	7	9	471.4048971	420.7464944	397.4744173	361.8374184	444.905227	336.181402	516.1357029	313.9858218	-876.2308529	315.3246445	-676.9715193	292.7925387	-891.1575961	-1058.728074	-372.3777169	-716.4132793	-208.4701779	-1967.921409
grapevine	NY_germplasm	Vitis_acerifolia	588646	2013	12	2	13	609.4611263	452.6047607	589.4152031	423.2957646	608.0224269	389.489811	654.884981	363.0306363	-927.6142091	330.1747091	-594.3664626	282.3598166	-889.1850418	-901.7973097	-436.4593075	-686.031284	-77.33602815	-1574.075271
grapevine	NY_germplasm	Vitis_acerifolia	588646	2017	6	5	10	549.0493386	395.1270986	520.2477527	363.0022409	577.0108024	341.715835	623.0560614	326.1370998	-882.9477009	547.8154866	-637.0220093	436.1101045	-979.2277192	-619.8137859	-407.5830035	-739.8897761	204.2831454	-1450.940203
